"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2013","Cultural services (COICOP 09.4.2)","Base 2015=100","96.3"
"Harmonised Index of Consumer Prices","2013","Newspapers, books and stationery (COICOP 09.5)","Base 2015=100","95.6"
"Harmonised Index of Consumer Prices","2013","Books (COICOP 09.5.1)","Base 2015=100","93.9"
"Harmonised Index of Consumer Prices","2013","Newspapers and periodicals (COICOP 09.5.2)","Base 2015=100","95.4"
"Harmonised Index of Consumer Prices","2013","Miscellaneous printed matter; stationery and drawing materials (COICOP 09.5.3_4)","Base 2015=100","101.3"
"Harmonised Index of Consumer Prices","2013","Package holidays (COICOP 09.6)","Base 2015=100","98.8"
"Harmonised Index of Consumer Prices","2013","Education (COICOP 10)","Base 2015=100","91.3"
"Harmonised Index of Consumer Prices","2013","Restaurants and hotels (COICOP 11)","Base 2015=100","96.3"
"Harmonised Index of Consumer Prices","2013","Catering services (COICOP 11.1)","Base 2015=100","97.1"
"Harmonised Index of Consumer Prices","2013","Restaurants, cafes and the like (COICOP 11.1.1)","Base 2015=100","97"
"Harmonised Index of Consumer Prices","2013","Canteens (COICOP 11.1.2)","Base 2015=100","98.1"
"Harmonised Index of Consumer Prices","2013","Accommodation services (COICOP 11.2)","Base 2015=100","90.7"
"Harmonised Index of Consumer Prices","2013","Miscellaneous goods and services (COICOP 12)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2013","Personal care (COICOP 12.1)","Base 2015=100","103.5"
