"Statistic Label","Year","NUTS 2 Region","UNIT","VALUE"
"Income of Self Employed","2018","Northern & Western","Euro Million","2336.2"
"Income of Self Employed","2018","Southern","Euro Million","5321.48"
"Income of Self Employed","2018","Eastern & Midland","Euro Million","5648.34"
"Income of Self Employed","2019","Ireland","Euro Million","13989.41"
"Income of Self Employed","2019","Northern & Western","Euro Million","2360.88"
"Income of Self Employed","2019","Southern","Euro Million","5332.4"
"Income of Self Employed","2019","Eastern & Midland","Euro Million","6296.13"
"Income of Self Employed","2020","Ireland","Euro Million","13318.0285513478"
"Income of Self Employed","2020","Northern & Western","Euro Million","2338.15845283325"
"Income of Self Employed","2020","Southern","Euro Million","5287.31905079009"
"Income of Self Employed","2020","Eastern & Midland","Euro Million","5692.55104772446"
"Income of Self Employed","2021","Ireland","Euro Million","14974.8707743998"
"Income of Self Employed","2021","Northern & Western","Euro Million","2595.20950754703"
"Income of Self Employed","2021","Southern","Euro Million","5870.79410499847"
"Income of Self Employed","2021","Eastern & Midland","Euro Million","6508.8671618543"
"Income of Self Employed","2022","Ireland","Euro Million","18064.2893940603"
"Income of Self Employed","2022","Northern & Western","Euro Million","3075.04802856728"
"Income of Self Employed","2022","Southern","Euro Million","6989.40823597269"
"Income of Self Employed","2022","Eastern & Midland","Euro Million","7999.83312952034"
"Income of Self Employed","2023","Ireland","Euro Million","17022.606575365"
"Income of Self Employed","2023","Northern & Western","Euro Million","2891.73419768886"
"Income of Self Employed","2023","Southern","Euro Million","6426.71637259355"
"Income of Self Employed","2023","Eastern & Midland","Euro Million","7704.1560050826"
"Income of Self Employed","2024","Ireland","Euro Million","18767.9190473107"
"Income of Self Employed","2024","Northern & Western","Euro Million","3188.22109224484"
"Income of Self Employed","2024","Southern","Euro Million","7085.64179562352"
"Income of Self Employed","2024","Eastern & Midland","Euro Million","8494.05615944234"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Ireland","Euro Million","3180.0310758"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Northern & Western","Euro Million","455.134447650583"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Southern","Euro Million","902.378818198002"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Eastern & Midland","Euro Million","1822.51780995142"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Ireland","Euro Million","3859.0475384"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Northern & Western","Euro Million","547.595393727997"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Southern","Euro Million","1092.32081159771"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Eastern & Midland","Euro Million","2219.1313330743"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Ireland","Euro Million","4383.0487313"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Northern & Western","Euro Million","616.729821483818"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Southern","Euro Million","1236.62964205006"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Eastern & Midland","Euro Million","2529.68926776612"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Ireland","Euro Million","4149.8864892"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Northern & Western","Euro Million","587.3780876711"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Southern","Euro Million","1179.38616026834"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Eastern & Midland","Euro Million","2383.12224126056"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Ireland","Euro Million","3586.8660324"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Northern & Western","Euro Million","510.250858141132"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Southern","Euro Million","1026.08172566674"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Eastern & Midland","Euro Million","2050.53344859213"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Ireland","Euro Million","3063.3450923"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Northern & Western","Euro Million","437.82786932052"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Southern","Euro Million","881.585709782969"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Eastern & Midland","Euro Million","1743.93151319651"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Ireland","Euro Million","2915.5941534"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Northern & Western","Euro Million","419.702037392896"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Southern","Euro Million","846.034106970483"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Eastern & Midland","Euro Million","1649.85800903662"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Ireland","Euro Million","4719.1736252"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Northern & Western","Euro Million","692.230531761347"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Southern","Euro Million","1371.061053229"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Eastern & Midland","Euro Million","2655.88204020965"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Ireland","Euro Million","6841.8504706"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Northern & Western","Euro Million","1015.18006982669"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Southern","Euro Million","2008.60013815666"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Eastern & Midland","Euro Million","3818.07026261665"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Ireland","Euro Million","4519.9861285"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Northern & Western","Euro Million","674.022405089319"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Southern","Euro Million","1338.11477474566"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Eastern & Midland","Euro Million","2507.84894866502"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Ireland","Euro Million","5320.5820246"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Northern & Western","Euro Million","794.418809188968"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Southern","Euro Million","1585.67762311468"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Eastern & Midland","Euro Million","2940.48559229635"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Ireland","Euro Million","5372.9005925"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Northern & Western","Euro Million","770.039869091515"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Southern","Euro Million","1576.56383609135"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Eastern & Midland","Euro Million","3026.29688731713"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2012","Ireland","Euro Million","5756.5167718"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2012","Northern & Western","Euro Million","857.637815914359"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2012","Southern","Euro Million","1722.04885909446"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2012","Eastern & Midland","Euro Million","3176.83009679118"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Ireland","Euro Million","5888.7202627"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Northern & Western","Euro Million","879.173799479791"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Southern","Euro Million","1763.83439886032"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Eastern & Midland","Euro Million","3245.71206435989"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Ireland","Euro Million","6450.5684545"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Northern & Western","Euro Million","963.204588301246"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Southern","Euro Million","1930.41233124849"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Eastern & Midland","Euro Million","3556.95153495026"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Ireland","Euro Million","7180.9651061"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Northern & Western","Euro Million","1073.14813824815"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Southern","Euro Million","2149.24726911273"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Eastern & Midland","Euro Million","3958.56969873912"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Ireland","Euro Million","7534.6173353"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Northern & Western","Euro Million","1000.31448538181"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Southern","Euro Million","2103.20892118908"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Eastern & Midland","Euro Million","4431.09392872911"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Ireland","Euro Million","8158.3992516"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Northern & Western","Euro Million","1080.88173329258"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Southern","Euro Million","2272.10997276177"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Eastern & Midland","Euro Million","4805.40754554565"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Ireland","Euro Million","8995.0669071"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Northern & Western","Euro Million","1189.65374484151"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Southern","Euro Million","2497.92078378723"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Eastern & Midland","Euro Million","5307.49237847125"
